ff,dd
ff,ss
ff,aa
dd,ss
dd,aa
ss,aa
fr,fv
de,dc
sw,sx
aq,az
aw,qs
dr,ef
qx,zw
cr,ev
fr,de
fv,dc
sw,aq
sx,az
fr,fd
fv,fd
aq,sa
az,sa
fr,dr
de,se
de,wd
sw,aw
aq,qs
vr,fr
zq,aq
sx,xw
dc,ce
cr,vr
xe,ce
zw,xw
zw,zq
xr,vr
xr,xw
ze,ce
ze,zq
ev,wv
wc,qc
cr,xr
xe,ze
df,fd
sf,fs
af,fa
sd,ds
ad,da
as,sa
ef,fe
qf,fq
wd,dw
qs,sq
dr,rd
ar,ra
se,es
aw,wa
ev,ve
qv,vq
wc,cw
qx,xq
cr,rc
zr,rz
xe,ex
zw,wz
fg,df
fg,fr
ft,fr
fb,fv
ft,fg
fb,fg
qs,sa
dr,fd
qd,ae
sr,wf
qc,ze
xr,wv
se,wd
xe,wc
wd,ds
dd,ff
ss,ff
aa,ff
ss,dd
aa,dd
aa,ss
fv,fr
dc,de
sx,sw
az,aq
qs,aw
ef,dr
zw,qx
ev,cr
de,fr
dc,fv
aq,sw
az,sx
fd,fr
fd,fv
sa,aq
sa,az
dr,fr
se,de
wd,de
aw,sw
qs,aq
fr,vr
aq,zq
xw,sx
ce,dc
vr,cr
ce,xe
xw,zw
zq,zw
vr,xr
xw,xr
ce,ze
zq,ze
wv,ev
qc,wc
xr,cr
ze,xe
fd,df
fs,sf
fa,af
ds,sd
da,ad
sa,as
fe,ef
fq,qf
dw,wd
sq,qs
rd,dr
ra,ar
es,se
wa,aw
ve,ev
vq,qv
cw,wc
xq,qx
rc,cr
rz,zr
ex,xe
wz,zw
df,fg
fr,fg
fr,ft
fv,fb
fg,ft
fg,fb
sa,qs
fd,dr
ae,qd
wf,sr
ze,qc
wv,xr
wd,se
wc,xe
ds,wd
